inventory_id,product_id,warehouse_id,current_stock,reserved_stock,inbound_stock,last_restocked_date
INV-001,SKU-1001,WH-EAST,12,10,50,2026-08-15
INV-002,SKU-1001,WH-WEST,240,30,100,2026-08-20
INV-003,SKU-1002,WH-CENTRAL,8,6,0,2026-08-01
INV-004,SKU-1003,WH-EAST,35,20,60,2026-08-18
INV-005,SKU-1004,WH-WEST,15,12,40,2026-08-10
INV-006,SKU-1005,WH-SOUTH,18,15,30,2026-08-14
INV-007,SKU-1006,WH-EAST,60,10,20,2026-08-22
INV-008,SKU-1007,WH-CENTRAL,120,80,200,2026-08-05
INV-009,SKU-1008,WH-EAST,450,300,1000,2026-08-12
INV-010,SKU-1009,WH-WEST,85,50,150,2026-08-16
INV-011,SKU-1010,WH-SOUTH,5,4,10,2026-08-08
INV-012,SKU-1011,WH-CENTRAL,520,100,200,2026-08-24
INV-013,SKU-1012,WH-EAST,28,18,50,2026-08-17
INV-014,SKU-1013,WH-WEST,310,200,600,2026-08-19
INV-015,SKU-1014,WH-SOUTH,40,25,80,2026-08-11
INV-016,SKU-1015,WH-EAST,14,10,25,2026-08-13
