order_id,product_id,supplier_id,warehouse_id,order_date,promised_delivery_date,actual_delivery_date,quantity,unit_price,status
ORD-5001,SKU-1001,SUP-001,WH-EAST,2026-08-05,2026-08-15,,150,45.5,IN_TRANSIT
ORD-5002,SKU-1002,SUP-002,WH-CENTRAL,2026-08-01,2026-08-16,,60,280.0,IN_TRANSIT
ORD-5003,SKU-1004,SUP-004,WH-WEST,2026-08-02,2026-08-14,2026-08-22,120,110.0,DELIVERED
ORD-5004,SKU-1003,SUP-003,WH-EAST,2026-08-08,2026-08-15,2026-08-14,100,65.0,DELIVERED
ORD-5005,SKU-1007,SUP-007,WH-CENTRAL,2026-08-06,2026-08-14,,500,12.5,IN_TRANSIT
ORD-5006,SKU-1010,SUP-003,WH-SOUTH,2026-08-18,2026-08-25,,25,550.0,PROCESSING
ORD-5007,SKU-1008,SUP-008,WH-EAST,2026-08-05,2026-08-11,2026-08-11,1500,3.2,DELIVERED
ORD-5008,SKU-1009,SUP-009,WH-WEST,2026-08-03,2026-08-12,2026-08-21,350,8.75,DELIVERED
ORD-5009,SKU-1011,SUP-010,WH-CENTRAL,2026-08-25,2026-08-30,,200,24.0,IN_TRANSIT
ORD-5010,SKU-1015,SUP-001,WH-EAST,2026-08-08,2026-08-18,,50,210.0,IN_TRANSIT
ORD-5011,SKU-1013,SUP-010,WH-WEST,2026-08-10,2026-08-15,2026-08-15,1000,4.5,DELIVERED
ORD-5012,SKU-1005,SUP-005,WH-SOUTH,2026-08-04,2026-08-18,2026-08-26,50,145.0,DELIVERED
